CAL_DATE,HIJRI_DATE,Main Event,Category_Channel,LOG_SALES,Is_Ramadan,Is_Eid_Fitr,Is_Eid_Adha
2022-01-02,1443-05-29,End Of Year,6_E-Commerce,10.188377148401889,0,0,0
2022-01-02,1443-05-29,End Of Year,6_Noon,8.938551333526314,0,0,0
2022-01-02,1443-05-29,End Of Year,7_Brick and Mortar,8.966345944144502,0,0,0
2022-01-02,1443-05-29,End Of Year,7_E-Commerce,7.679934641421755,0,0,0
2022-01-03,1443-05-30,End Of Year,102_Brick and Mortar,7.99533021286725,0,0,0
2022-01-03,1443-05-30,End Of Year,102_Noon,7.769049024154731,0,0,0
2022-01-03,1443-05-30,End Of Year,105_Brick and Mortar,10.669042367637628,0,0,0
2022-01-03,1443-05-30,End Of Year,105_E-Commerce,8.850324582192883,0,0,0
2022-01-03,1443-05-30,End Of Year,105_Noon,8.907016603534444,0,0,0
2022-01-03,1443-05-30,End Of Year,13_Brick and Mortar,11.046785721294963,0,0,0
2022-01-03,1443-05-30,End Of Year,13_E-Commerce,9.41429932609426,0,0,0
2022-01-03,1443-05-30,End Of Year,13_Noon,9.577222643444578,0,0,0
2022-01-03,1443-05-30,End Of Year,17_E-Commerce,7.259116057724121,0,0,0
2022-01-03,1443-05-30,End Of Year,1_Brick and Mortar,14.235902668633878,0,0,0
2022-01-03,1443-05-30,End Of Year,1_E-Commerce,12.267062022932848,0,0,0
2022-01-03,1443-05-30,End Of Year,1_Noon,10.520742940110344,0,0,0
2022-01-03,1443-05-30,End Of Year,20_Brick and Mortar,13.118731831315806,0,0,0
2022-01-03,1443-05-30,End Of Year,20_E-Commerce,9.620246052798075,0,0,0
2022-01-03,1443-05-30,End Of Year,20_Services,8.57318592611617,0,0,0
2022-01-03,1443-05-30,End Of Year,23_Brick and Mortar,6.942079408026091,0,0,0
2022-01-03,1443-05-30,End Of Year,2_Brick and Mortar,15.341909796128768,0,0,0
2022-01-03,1443-05-30,End Of Year,2_E-Commerce,12.831177404389779,0,0,0
2022-01-03,1443-05-30,End Of Year,2_Noon,12.592855250768494,0,0,0
2022-01-03,1443-05-30,End Of Year,3_Brick and Mortar,13.380959165460423,0,0,0
2022-01-03,1443-05-30,End Of Year,3_E-Commerce,11.315174561652224,0,0,0
2022-01-03,1443-05-30,End Of Year,3_Noon,10.43973352402903,0,0,0
2022-01-03,1443-05-30,End Of Year,4_Brick and Mortar,14.252291556093187,0,0,0
2022-01-03,1443-05-30,End Of Year,4_E-Commerce,12.855202400101948,0,0,0
2022-01-03,1443-05-30,End Of Year,4_Noon,10.728676078651635,0,0,0
